Spectrum No,Lat,Lon,lheight,dose,Cs_G,TC_g
375,47.9711208,16.50765099,13.10129228,9.431954378,4.140022666,168.2365417
376,47.97110504,16.50768171,13.05714,10.2977457,1.484632796,199.2120056
377,47.97108908,16.50771305,13.07358718,7.319450855,1.536141872,199.3778687
378,47.97107078,16.50774548,13.2248347,8.958621025,5.389953613,203.7225037
379,47.97104974,16.50776507,13.41812004,11.19170972,24.06962633,134.131012
380,47.97102554,16.50776154,13.21528941,8.11147213,20.39029657,117.4543304
381,47.97100448,16.50774243,13.00619998,10.83429146,0,178.6735535
382,47.9709855,16.50771718,12.89343656,8.845884323,0,166.0935364
383,47.97096626,16.50767899,12.90319994,9.168195724,0,149.7962341
384,47.9709606,16.50763765,13.00800198,9.720733643,1.816082716,178.2003479
385,47.97096576,16.5076077,12.9116882,10.6184988,1.722452998,177.8089294
386,47.97098007,16.50757556,12.80639639,9.050136217,0,180.2030945
387,47.97099786,16.5075433,12.82539079,9.522791862,0.664732502,207.7356567
388,47.97101471,16.50751259,12.87366367,10.09816074,0,221.6273956
389,47.97103209,16.50747941,12.86161839,6.90580368,0,198.0521088
390,47.97104754,16.50744977,12.87032965,8.43155767,0.796157788,172.6383209
391,47.97106248,16.50742082,12.95464,9.697401363,21.30677365,157.4242706
392,47.97108135,16.50738397,12.97633,10.128339,4.574221952,195.183197
393,47.97110012,16.50734838,12.96633366,9.949920763,0,167.913147
394,47.97111445,16.50732098,12.94529471,8.664240837,2.317437569,173.4481049
395,47.97113071,16.50728941,12.88704478,12.34697437,0.749583721,193.9454651
396,47.97114721,16.50725745,12.81909909,8.682183086,0,158.098999
397,47.97116411,16.50722441,12.8292,10.17979717,0,149.6356506
398,47.97118168,16.5071904,12.81380765,9.390514374,0,198.3649902
399,47.97119571,16.50716355,12.76289992,8.84379673,0,208.9552307
400,47.97121174,16.50713262,12.84037926,9.303420067,0,210.7189941
401,47.97122836,16.50709989,12.79368631,9.754315385,0,199.9619446
402,47.97124654,16.50706475,12.78520002,9.685247421,6.016207692,197.9035034
403,47.97126397,16.50703135,12.77855,9.212976456,5.090275288,176.0063019
404,47.97127783,16.50700487,12.82483999,9.658444865,0,154.4008789
405,47.97129376,16.50697462,12.83152929,11.57549858,4.272879655,192.3479919
406,47.97131387,16.5069367,12.80735471,10.20979214,0,239.8676453
407,47.97133273,16.50690129,12.81259259,8.511097908,0,206.635376
408,47.97134763,16.50687317,12.78138142,7.412634001,0,166.0816956
409,47.97136331,16.50684388,12.7612012,8.183220499,0,179.8214264
410,47.97137899,16.50681514,12.79504001,8.828409195,0,222.863205
411,47.97139902,16.50677715,12.78984002,11.07118607,5.790243149,233.9628296
412,47.97141693,16.50674305,12.71356642,10.67104721,0,233.8692627
413,47.97143083,16.50671585,12.71146997,9.558349661,0,205.7310791
414,47.97144568,16.50668673,12.80262004,11.80274574,0,190.1329346
415,47.97146101,16.50665744,12.80209996,10.88605404,0,223.0770416
416,47.97148259,16.5066177,12.77383929,11.28213026,0,240.6694336
417,47.97150054,16.50658516,12.80765762,12.49511519,0,260.7892456
418,47.97151487,16.5065589,12.7512813,10.79215813,0,298.9570618
419,47.97153117,16.50652883,12.72751504,11.36791608,0,281.4484863
420,47.97154827,16.50649688,12.73621,9.859021187,0,258.7185669
421,47.97156459,16.50646619,12.69579998,15.3401413,0,276.232666
422,47.97158156,16.50643358,12.65143,14.29330771,0,326.4749451
423,47.97159723,16.50640332,12.68522479,13.76706243,0,362.460907
424,47.97161304,16.50637264,12.65290708,21.73728925,0,485.7460938
425,47.97163364,16.50633295,12.56,26.83121892,0,649.7936401
426,47.97165144,16.50629775,12.58234942,38.18524478,0,857.885437
427,47.97166603,16.50626951,12.6462238,41.16353817,0,1083.130737
428,47.9716812,16.50623964,12.69751503,44.6624,0,1198.627319
429,47.97169696,16.50620904,12.69484971,53.80501848,0,1354.549927
430,47.97171589,16.50617275,12.65478478,58.17889449,0,1572.186401
431,47.97173415,16.50613763,12.67596001,66.92189344,0,1675.399658
432,47.97175079,16.50610655,12.70776,65.45438398,0,1730.962891
433,47.97176621,16.50607792,12.66304,67.95556884,0,1863.21521
434,47.97178199,16.50604794,12.646014,75.06505422,0,1862.825439
435,47.97180119,16.5060106,12.54844999,74.82328906,0,1549.255127
436,47.97181828,16.50597722,12.56088,64.12854687,0,1375.369873
437,47.97183395,16.50594715,12.57936505,56.37678705,0,1158.29541
438,47.97185173,16.50591406,12.53378,44.52072701,0,1050.624878
439,47.97186947,16.50588157,12.50964966,32.93724896,0,851.4212646
440,47.97188505,16.5058523,12.42573149,30.20851941,0,709.4133301
441,47.97190172,16.50582067,12.37,25.68393748,0,603.7989502
442,47.97191689,16.50579169,12.38544,19.66708772,0,443.6011047
443,47.97192971,16.50576173,12.52609998,19.58647087,6.988350202,343.8198547
444,47.97193242,16.5057184,12.69449549,17.21253435,0,406.7229004
445,47.97191259,16.50569121,12.50315996,18.51190758,4.311970759,371.0687256
446,47.97189027,16.50567429,12.2245572,12.99760781,10.95052463,298.4275208
