timestamp,lat,lon,Total,Countrate,U238,K40,Th232,Cs137,Height,Press,Temp,Hum
1751447252946,47.97078476443071,16.508134606707856,501,163,28.247,373.787,7.688,12.996,235.40024889673433,996.5611856786428,36.14,32.11
1751446730535,47.97078569161676,16.50758281791801,438,145,39.613,159.802,15.251,-2.104,246.74613864578535,998.1265758982036,35.54,34.8639371257485
1751447087824,47.97079952844744,16.50727573780135,438,144,33.485,85.173,19.305,10.006,240.85273095467696,997.4210776521451,35.92,32.89
1751447249944,47.97080168035714,16.50808506607143,434,153,19.626,219.915,30.325,-11.503,236.31654464285714,996.2942723690772,36.15,32.133177057356605
1751446733536,47.970806105965394,16.5075647958561,492,153,49.146,126.311,8.97,8.178,246.80043624772313,997.9179783042395,35.541995012468824,34.83201995012469
1751446018880,47.970813238055165,16.50717170500234,398,124,12.817,288.313,20.786,10.285,247.55680785413745,997.2222426147704,32.34158183632735,36.05367265469062
1751447246942,47.970820101768176,16.508026763408644,485,160,13.996,279.46,27.122,4.596,237.82127701375245,996.0324123752496,36.15,32.12
1751447243939,47.97082953914163,16.507991348497853,437,157,44.78,219.279,12.518,-0.121,240.84015879828326,995.7946143712575,36.15654690618762,32.159640718562876
1751447240936,47.970834002339906,16.507987226970442,428,137,24.993,205.553,14.132,32.384,244.92711761083746,995.5858510723192,36.16,32.219586034912716
1751447237934,47.97084214834344,16.507987851236585,418,146,13.604,264.711,14.218,23.543,248.30983014465704,995.4337590818363,36.16,32.28554890219561
1751447234931,47.97084412109375,16.507988538020832,450,151,44.306,98.518,6.884,6.855,252.03716927083332,995.3517630738522,36.16,32.36946107784431
1751447078816,47.97084493451417,16.507506589878542,478,153,36.337,81.426,26.264,30.936,241.56998178137653,997.4687119055537,35.91307948121051,32.88307948121051
1751447090826,47.970850834305146,16.50718120607386,417,135,43.896,84.385,6.685,9.101,241.46732750242955,997.4049631193881,35.92,32.8869803791154
1751447231929,47.97085112018633,16.507961686490685,384,154,34.989,134.536,5.647,-0.497,255.81081366459625,995.3591295261845,36.16,32.402927680798
1751446000865,47.97085670327163,16.5068508455876,435,139,19.454,261.986,26.639,11.378,249.18379423159706,997.0680694610778,32.2034131736527,36.26829341317365
1751446009874,47.97085886622074,16.506239773690076,488,147,-5.231,384.082,34.827,21.671,248.86952619843925,997.0958003493014,32.273303393213574,36.18330339321357
