RECS_fid,Lat_deg,Lon_deg,DosPGIS_nGypH
527,47.974773,16.512646,46.51
528,47.974766,16.512659,45.343
529,47.974762,16.51267,45.402
530,47.974754,16.512682,44.36
531,47.97475,16.512695,44.144
532,47.97475,16.512711,42.994
533,47.974747,16.51272,44.56
534,47.974739,16.51273,44.756
535,47.974735,16.512741,46.781
536,47.974731,16.512752,47.815
537,47.974731,16.51276,49.08
538,47.974731,16.512768,48.557
539,47.974731,16.512777,47.569
540,47.974735,16.512775,48.321
541,47.974743,16.51277,46.43
542,47.974739,16.512758,46.168
543,47.974743,16.512743,46.38
544,47.974747,16.512737,44.05
545,47.97475,16.512726,45.102
546,47.974766,16.512711,45.266
547,47.974773,16.512695,46.077
548,47.974781,16.51268,45.826
549,47.974785,16.512659,45.616
550,47.974792,16.512648,46.479
551,47.974808,16.512638,46.786
552,47.974815,16.51263,46.012
553,47.974827,16.512625,45.044
554,47.974838,16.512611,46.782
555,47.974846,16.512596,45.04
556,47.97485,16.512581,44.232
557,47.974853,16.512567,44.263
558,47.974857,16.512554,46.001
559,47.974861,16.512546,45.376
560,47.974869,16.512537,48.227
561,47.974876,16.512529,50.53
562,47.974892,16.512522,50.787
563,47.974899,16.51251,52.59
564,47.974907,16.512495,51.867
565,47.974914,16.512482,51.661
566,47.974926,16.51247,51.642
567,47.97493,16.512459,51.804
568,47.974937,16.512447,51.546
569,47.974945,16.512436,51.261
570,47.974949,16.512421,49.189
571,47.974949,16.512405,50.164
572,47.974953,16.512392,50.555
573,47.974956,16.51238,50.879
574,47.974964,16.512371,49.996
575,47.974975,16.512367,50.861
576,47.974987,16.512367,53.116
577,47.974998,16.512371,55.863
578,47.97501,16.512379,55.585
579,47.975017,16.512384,54.278
580,47.975017,16.512398,53.981
581,47.975014,16.512417,51.05
582,47.97501,16.512436,49.812
583,47.975006,16.512455,48.568
584,47.974998,16.512474,48.315
585,47.974995,16.512487,49.663
586,47.974987,16.512499,49.066
587,47.974979,16.512508,47.718
588,47.974972,16.512522,48.061
589,47.97496,16.512537,48.156
590,47.974956,16.512552,49.034
591,47.974949,16.512567,47.396
592,47.974945,16.512579,47.206
593,47.974941,16.512592,46.077
594,47.974937,16.512602,46.105
595,47.97493,16.512613,47.703
596,47.974926,16.512627,49.421
597,47.974918,16.512638,48.143
598,47.974903,16.512648,48.879
599,47.974895,16.512657,49.294
600,47.974888,16.512665,49.743
601,47.97488,16.512678,48.448
602,47.974876,16.512693,49.155
603,47.974872,16.512707,49.532
604,47.974865,16.512718,49.632
605,47.974857,16.512728,48.847
606,47.97485,16.512739,49.436
607,47.974838,16.512751,50.09
608,47.974834,16.512762,48.281
609,47.974823,16.512772,48.37
610,47.974815,16.512783,46.837
611,47.974812,16.512798,47.674
612,47.974808,16.51281,48.245
613,47.974804,16.512823,48.595
614,47.9748,16.512836,48.126
615,47.974796,16.512848,50.303
616,47.974792,16.512861,50.902
617,47.9748,16.512867,50.787
618,47.974812,16.512859,49.284
619,47.974819,16.512852,50.903
620,47.974823,16.51284,51.388
621,47.974827,16.512831,51.873
622,47.974838,16.512819,51.245
623,47.974842,16.512806,48.994
624,47.97485,16.512791,50.483
625,47.974853,16.512775,50.027
626,47.974861,16.512758,50.487
627,47.974872,16.512743,51.735
628,47.97488,16.51273,51.045
629,47.974888,16.51272,49.74
630,47.974895,16.512711,50.615
631,47.974903,16.512699,51.615
632,47.974911,16.512686,53.575
633,47.974918,16.512676,50.801
634,47.974926,16.512663,50.086
635,47.97493,16.512651,50.583
636,47.974934,16.512634,55.437
637,47.974941,16.512619,57.92
638,47.974945,16.512607,58.08
639,47.974953,16.512594,58.563
640,47.974956,16.512581,56.471
641,47.974964,16.512569,54.74
642,47.974972,16.51256,54.003
643,47.974983,16.512548,52.862
644,47.974987,16.512539,51.416
645,47.974995,16.512527,50.532
646,47.975002,16.512518,51.357
647,47.97501,16.512514,53.247
648,47.975017,16.512504,51.486
649,47.975021,16.512503,51.223
650,47.975021,16.512503,50.26
651,47.975021,16.512514,51.101
652,47.975014,16.512527,48.874
653,47.975006,16.512541,49.404
654,47.974998,16.512552,48.611
655,47.974987,16.512564,49.509
656,47.974979,16.512573,49.963
657,47.974972,16.512586,48.78
658,47.974964,16.512598,46.702
659,47.974956,16.512611,49.851
660,47.974949,16.512628,51.088
661,47.974941,16.512642,54.768
662,47.974934,16.512659,55.045
663,47.974926,16.512672,57.359
664,47.974918,16.512686,56.745
665,47.974911,16.512701,55.574
666,47.974903,16.512714,53.601
667,47.974895,16.51273,54.485
668,47.974892,16.512745,54.516
669,47.974888,16.512762,54.556
670,47.97488,16.512777,52.583
671,47.974876,16.512791,53.085
672,47.974869,16.512806,54.766
673,47.974865,16.512819,53.424
674,47.974861,16.512833,55.086
675,47.974853,16.512846,55.833
676,47.97485,16.512857,55.061
677,47.974846,16.512873,53.056
678,47.974842,16.512888,53.32
679,47.974838,16.512905,52.378
680,47.974842,16.512918,51.25
681,47.97485,16.512928,55.165
682,47.974853,16.512937,54.092
683,47.974861,16.512934,52.656
684,47.974869,16.512924,52.013
685,47.974872,16.512916,51.785
686,47.974876,16.512903,51.212
687,47.97488,16.51289,50.407
688,47.974888,16.512877,50.954
689,47.974903,16.512861,49.58
690,47.974911,16.512848,49.939
691,47.974918,16.512836,50.418
692,47.97493,16.512821,50.331
693,47.974934,16.512806,48.818
694,47.974941,16.512798,49.329
695,47.974945,16.512791,50.459
696,47.974953,16.512787,53.563
697,47.974956,16.512789,56.611
698,47.97496,16.512789,56.754
699,47.974968,16.512787,56.835
700,47.974975,16.512779,57.453
701,47.974983,16.512766,59.215
702,47.974991,16.512754,60.741
703,47.974995,16.512743,61.554
704,47.974998,16.51273,68.28
705,47.974998,16.512722,72.504
706,47.974998,16.512718,72.159
707,47.974998,16.51272,73.374
708,47.974995,16.512724,75.017
709,47.974995,16.512722,74.574
710,47.974998,16.512716,71.573
711,47.974998,16.512714,67.219
712,47.974998,16.512712,68.188
713,47.974998,16.512707,68.231
714,47.974998,16.512705,66.026
715,47.975002,16.512699,62.511
716,47.975002,16.51269,60.314
717,47.97501,16.512684,59.611
718,47.975014,16.512672,57.825
719,47.975017,16.512661,55.117
720,47.975021,16.512651,53.162
721,47.975029,16.512646,50.919
722,47.975037,16.512636,51.509
723,47.97504,16.512627,49.072
724,47.975044,16.512619,50.733
725,47.975048,16.512609,48.146
726,47.975048,16.512598,47.468
727,47.975052,16.51259,46.295
728,47.975056,16.512581,45.441
729,47.975063,16.512569,46.908
730,47.975071,16.512567,47.951
731,47.975075,16.512567,48.033
732,47.975078,16.512573,47.177
733,47.975086,16.512581,45.808
734,47.97509,16.512594,45.97
735,47.975086,16.512607,45.849
736,47.975082,16.512619,45.443
737,47.975075,16.512634,45.261
738,47.975071,16.512648,44.873
739,47.975063,16.512663,44.658
740,47.97506,16.512678,45.183
741,47.975052,16.512691,46.788
742,47.975044,16.512705,44.508
743,47.975033,16.512714,45.509
744,47.975021,16.512722,45.724
745,47.975006,16.512726,46.457
746,47.974995,16.512732,46.987
747,47.974991,16.512737,48.999
748,47.974983,16.512745,52.109
749,47.974983,16.512754,53.993
750,47.974979,16.51277,58.014
751,47.974979,16.512785,59.639
752,47.974975,16.512796,61.171
753,47.974975,16.51281,60.512
754,47.974972,16.512819,59.524
755,47.974972,16.512827,57.616
756,47.974968,16.512831,55.527
757,47.974964,16.512835,55.478
758,47.97496,16.512844,53.631
759,47.974956,16.512854,55.147
760,47.974953,16.512861,53.262
761,47.974945,16.512871,51.092
762,47.974945,16.512884,50.992
763,47.974937,16.512894,49.334
764,47.97493,16.512905,50.491
765,47.974926,16.512916,50.361
766,47.974918,16.512926,49.531
767,47.974914,16.512937,48.036
768,47.974911,16.512949,48.305
769,47.974903,16.512958,49.574
770,47.974899,16.512964,50.527
771,47.974895,16.51297,49.608
772,47.974892,16.512976,49.851
773,47.974884,16.512972,49.704
774,47.974876,16.512962,50.522
775,47.974872,16.512958,49.842
776,47.974872,16.512951,48.87
777,47.974872,16.512951,49.918
778,47.97488,16.512941,51.362
779,47.974884,16.512943,51.284
780,47.974884,16.512949,53.535
781,47.974892,16.512955,52.701
782,47.974895,16.51296,51.571
783,47.974903,16.512966,52.516
784,47.974903,16.512962,52.173
785,47.974907,16.51296,52.649
786,47.974918,16.512951,51.727
787,47.974922,16.512943,51.319
788,47.97493,16.512934,50.294
789,47.974934,16.51292,49.986
790,47.974945,16.512909,49.236
791,47.974953,16.512897,48.384
792,47.97496,16.51288,48.512
793,47.974972,16.512859,48.593
794,47.974983,16.512852,50.394
795,47.974987,16.512846,50.796
796,47.975002,16.512844,51.949
797,47.97501,16.512836,52.015
798,47.97501,16.512833,52.378
799,47.975014,16.512827,53.844
800,47.975021,16.512817,53.332
801,47.975021,16.512808,53.159
802,47.975025,16.512796,51.574
803,47.975037,16.512783,51.023
804,47.975044,16.512772,50.942
805,47.975052,16.512762,51.629
806,47.97506,16.512751,51.017
807,47.975067,16.512739,50.557
808,47.975075,16.512726,49.769
809,47.975082,16.512718,50.212
810,47.97509,16.512709,48.057
811,47.975094,16.512699,47.758
812,47.975101,16.512688,46.982
813,47.975105,16.512676,47.432
814,47.975113,16.512669,46.997
815,47.97512,16.512663,45.594
816,47.975128,16.512657,44.64
817,47.975132,16.512655,46.516
818,47.975136,16.512657,45.981
819,47.975136,16.512659,46.449
820,47.975132,16.512665,46.739
821,47.975128,16.512674,46.266
822,47.97512,16.512684,46.007
823,47.975113,16.512691,47.208
824,47.975109,16.512705,47.714
825,47.975101,16.512716,45.46
826,47.975098,16.512726,44.269
827,47.97509,16.512735,44.226
828,47.975086,16.512741,44.956
829,47.975078,16.512747,44.087
830,47.975067,16.512752,44.741
831,47.975063,16.512758,46.095
832,47.975052,16.51276,47.004
833,47.975048,16.512758,46.023
834,47.97504,16.512758,45.845
835,47.975037,16.512758,47.035
836,47.975037,16.512758,49.193
837,47.975037,16.51276,51.089
838,47.975037,16.512764,51.151
839,47.975044,16.512768,51.514
840,47.975052,16.512777,51.376
841,47.975052,16.512785,50.993
842,47.975052,16.512794,49.734
843,47.975048,16.512806,50.757
844,47.975044,16.512814,50.105
845,47.97504,16.512825,50.588
846,47.975037,16.512835,49.569
847,47.975029,16.512844,51.427
848,47.975021,16.512857,50.582
849,47.975017,16.512871,51.643
850,47.97501,16.512882,49.718
851,47.975002,16.512894,49.41
852,47.974998,16.512903,50.401
853,47.974991,16.512915,48.908
854,47.974983,16.512924,49.144
855,47.974979,16.512937,47.547
856,47.974972,16.512949,46.001
857,47.97496,16.512962,49.532
858,47.974953,16.512978,49.056
859,47.974949,16.512991,48.693
860,47.974941,16.513008,51.135
861,47.974937,16.513021,51.292
862,47.974937,16.51304,49.286
863,47.974937,16.51305,50.973
864,47.974941,16.51305,50.646
865,47.974941,16.513044,49.812
866,47.974945,16.513037,48.943
867,47.974949,16.513029,49.42
