RECS_fid,Lat_deg,Lon_deg,DosPGIS_nGypH
267,47.974731,16.51277,49.138
268,47.974747,16.512762,49.632
269,47.974754,16.512752,47.533
270,47.974777,16.512743,46.53
271,47.974789,16.512732,45.609
272,47.9748,16.512722,45.679
273,47.974812,16.512709,44.866
274,47.974815,16.512695,45.147
275,47.974827,16.512684,44.802
276,47.974834,16.512669,45.869
277,47.974846,16.512653,46.277
278,47.974853,16.512642,46.55
279,47.974865,16.512628,47.336
280,47.974872,16.512617,46.409
281,47.974876,16.512602,47.482
282,47.97488,16.512588,47.144
283,47.974888,16.512577,49.565
284,47.974895,16.512564,50.161
285,47.974903,16.51255,49.909
286,47.974911,16.512539,50.201
287,47.974922,16.512525,49.469
288,47.97493,16.51251,49.424
289,47.974941,16.512499,48.932
290,47.974949,16.512482,49.003
291,47.974956,16.512468,48.488
292,47.974968,16.512461,49.481
293,47.974979,16.512451,48.88
294,47.974991,16.512449,49.335
295,47.974998,16.512455,49.509
296,47.975006,16.512468,48.981
297,47.975006,16.512478,48.966
298,47.975006,16.512491,48.618
299,47.974995,16.512501,48.633
300,47.974991,16.51251,49.266
301,47.974975,16.51252,49.29
302,47.974964,16.512529,48.899
303,47.974953,16.512541,47.793
304,47.974934,16.512554,47.875
305,47.974926,16.512571,47.906
306,47.974907,16.51259,47.939
307,47.974895,16.512606,48.492
308,47.974888,16.512621,48.203
309,47.974876,16.512636,48.594
310,47.974865,16.512651,48.42
311,47.974861,16.512665,48.062
312,47.974853,16.512678,48.296
313,47.97485,16.512697,48.728
314,47.974846,16.512712,48.881
315,47.974838,16.512726,48.863
316,47.974831,16.512739,48.458
317,47.974823,16.512745,49.166
318,47.974815,16.512752,50.95
319,47.974808,16.512764,50.639
320,47.974792,16.512773,50.516
321,47.974781,16.512783,49.856
322,47.97477,16.512794,51.127
323,47.974754,16.512806,50.077
324,47.974747,16.512817,49.065
325,47.974731,16.512829,49.561
326,47.974724,16.51284,48.662
327,47.974712,16.51285,49.202
328,47.974708,16.512859,50.009
329,47.974708,16.512871,50.79
330,47.974716,16.51288,51.566
331,47.974728,16.512886,52.488
332,47.974739,16.512892,53.02
333,47.974747,16.512888,52.388
334,47.974758,16.512884,51.523
335,47.974773,16.512875,49.711
336,47.974792,16.512861,50.17
337,47.974819,16.51284,50.13
338,47.974838,16.512827,51.166
339,47.974857,16.512814,52.263
340,47.974872,16.512796,52.029
341,47.97488,16.512779,52.268
